Ülke,Tarih,ISSIZLIK,TUFE,SURETIM,ISFAIZ
ABD,2000-01-01,4.0,169.3,91.538,5.95
ABD,2000-02-01,4.1,170.0,91.8239,6.01
ABD,2000-03-01,4.0,171.0,92.1504,6.14
ABD,2000-04-01,3.8,170.9,92.6989,6.28
ABD,2000-05-01,4.0,171.2,92.9499,6.71
ABD,2000-06-01,4.0,172.2,92.9862,6.73
ABD,2000-07-01,4.0,172.7,92.8048,6.67
ABD,2000-08-01,4.1,172.7,92.5521,6.61
ABD,2000-09-01,3.9,173.6,92.9792,6.6
ABD,2000-10-01,3.9,173.9,92.6179,6.67
ABD,2000-11-01,3.9,174.2,92.6438,6.65
ABD,2000-12-01,3.9,174.6,92.3415,6.45
ABD,2001-01-01,4.2,175.6,91.902,5.62
ABD,2001-02-01,4.2,176.0,91.3034,5.26
ABD,2001-03-01,4.3,176.1,91.1162,4.89
ABD,2001-04-01,4.4,176.4,90.7891,4.53
ABD,2001-05-01,4.3,177.3,90.3555,4.02
ABD,2001-06-01,4.5,177.7,89.8784,3.74
ABD,2001-07-01,4.6,177.4,89.3028,3.66
ABD,2001-08-01,4.9,177.4,89.2003,3.48
ABD,2001-09-01,5.0,178.1,88.7485,2.87
ABD,2001-10-01,5.3,177.6,88.5052,2.31
ABD,2001-11-01,5.5,177.5,87.97,2.03
ABD,2001-12-01,5.7,177.4,87.9324,1.83
ABD,2002-01-01,5.7,177.7,88.5176,1.74
ABD,2002-02-01,5.7,178.0,88.5278,1.82
ABD,2002-03-01,5.7,178.5,89.1686,1.91
ABD,2002-04-01,5.9,179.3,89.604,1.87
ABD,2002-05-01,5.8,179.5,89.964,1.82
ABD,2002-06-01,5.8,179.6,90.7061,1.81
ABD,2002-07-01,5.8,180.0,90.6769,1.79
ABD,2002-08-01,5.7,180.5,90.5762,1.73
ABD,2002-09-01,5.7,180.8,90.6531,1.76
ABD,2002-10-01,5.7,181.2,90.4643,1.73
ABD,2002-11-01,5.9,181.5,90.9711,1.39
ABD,2002-12-01,6.0,181.8,90.4652,1.34
ABD,2003-01-01,5.8,182.6,91.2361,1.29
ABD,2003-02-01,5.9,183.6,91.3445,1.27
ABD,2003-03-01,5.9,183.9,91.1044,1.23
ABD,2003-04-01,6.0,183.2,90.5617,1.24
ABD,2003-05-01,6.1,182.9,90.537,1.22
ABD,2003-06-01,6.3,183.1,90.6527,1.04
ABD,2003-07-01,6.2,183.7,91.1185,1.05
ABD,2003-08-01,6.1,184.5,90.9197,1.08
ABD,2003-09-01,6.1,185.1,91.5059,1.08
ABD,2003-10-01,6.0,184.9,91.6186,1.1
ABD,2003-11-01,5.8,185.0,92.2329,1.11
ABD,2003-12-01,5.7,185.5,92.2602,1.1
ABD,2004-01-01,5.7,186.3,92.4006,1.06
ABD,2004-02-01,5.6,186.7,92.958,1.05
ABD,2004-03-01,5.8,187.1,92.5861,1.05
ABD,2004-04-01,5.6,187.4,92.93,1.08
ABD,2004-05-01,5.6,188.2,93.6013,1.2
ABD,2004-06-01,5.6,188.9,92.871,1.46
ABD,2004-07-01,5.5,189.1,93.5649,1.57
ABD,2004-08-01,5.4,189.2,93.6277,1.68
ABD,2004-09-01,5.4,189.8,93.7467,1.86
ABD,2004-10-01,5.5,190.8,94.5465,2.04
ABD,2004-11-01,5.4,191.7,94.7813,2.26
ABD,2004-12-01,5.4,191.7,95.5365,2.45
ABD,2005-01-01,5.3,191.6,95.8801,2.61
ABD,2005-02-01,5.4,192.4,96.5761,2.77
ABD,2005-03-01,5.2,193.1,96.4456,2.97
ABD,2005-04-01,5.2,193.7,96.6532,3.09
ABD,2005-05-01,5.1,193.6,96.7402,3.22
ABD,2005-06-01,5.0,193.7,97.1753,3.38
ABD,2005-07-01,5.0,194.9,96.8676,3.57
ABD,2005-08-01,4.9,196.1,97.1833,3.77
ABD,2005-09-01,5.0,198.8,95.3005,3.87
ABD,2005-10-01,5.0,199.1,96.4572,4.13
ABD,2005-11-01,5.0,198.1,97.5414,4.31
ABD,2005-12-01,4.9,198.1,98.0452,4.45
ABD,2006-01-01,4.7,199.3,98.1999,4.56
ABD,2006-02-01,4.8,199.4,98.2413,4.72
ABD,2006-03-01,4.7,199.7,98.4628,4.88
ABD,2006-04-01,4.7,200.7,98.7618,5.03
ABD,2006-05-01,4.6,201.3,98.7869,5.15
ABD,2006-06-01,4.6,201.8,99.0997,5.35
ABD,2006-07-01,4.7,202.9,99.0489,5.46
ABD,2006-08-01,4.7,203.8,99.4836,5.38
ABD,2006-09-01,4.5,202.8,99.3183,5.34
ABD,2006-10-01,4.4,201.9,99.2044,5.33
ABD,2006-11-01,4.5,202.0,99.1627,5.32
ABD,2006-12-01,4.4,203.1,100.1735,5.32
ABD,2007-01-01,4.6,203.437,99.8346,5.32
ABD,2007-02-01,4.5,204.226,100.7753,5.31
ABD,2007-03-01,4.4,205.288,100.9547,5.3
ABD,2007-04-01,4.5,205.904,101.6334,5.31
ABD,2007-05-01,4.4,206.755,101.7306,5.31
ABD,2007-06-01,4.6,207.234,101.7893,5.33
ABD,2007-07-01,4.7,207.603,101.6672,5.32
ABD,2007-08-01,4.6,207.667,101.863,5.49
ABD,2007-09-01,4.7,208.547,102.0894,5.46
ABD,2007-10-01,4.7,209.19,101.8015,5.08
ABD,2007-11-01,4.7,210.834,102.3446,4.97
ABD,2007-12-01,5.0,211.445,102.3803,5.02
ABD,2008-01-01,5.0,212.174,102.2448,3.84
ABD,2008-02-01,4.9,212.687,101.8438,3.06
